this is the FWX joint values,the following info is time,x,y,theta,joint1,joint2,joint3,joint4,joint5,joint6,joint7
0.0 0.599760229062 -2.49596411831 0.0193374591694 0.0379768819939 0.638822059986 -0.41426978628 -1.34217880076 -1.38976003956 -1.92122632998 1.20808978866
0.218839015824 0.599687121682 -2.49192937024 0.0201172320379 0.039536427731 0.638734411843 -0.414013574503 -1.34254539043 -1.38867633225 -1.91817024447 1.20802550697
0.388706408826 0.599615139432 -2.48789551977 0.0208971177526 0.0410961991603 0.638650525285 -0.413756065779 -1.34290618063 -1.38759010986 -1.91511232594 1.2079592354
0.53289083068 0.599543780584 -2.48386241019 0.0216771209201 0.0426562054954 0.638570531913 -0.413497332431 -1.34326192086 -1.3865016557 -1.91205260718 1.20789149268
0.660812646972 0.599474313318 -2.47983038913 0.0224572028518 0.0442163693587 0.638494075827 -0.413237202945 -1.34361070477 -1.38541026832 -1.9089911191 1.20782100297
0.777751677222 0.599405982879 -2.47579922928 0.0232373748798 0.0457767134148 0.638421358819 -0.412975790513 -1.34395365714 -1.38431638411 -1.90592789246 1.20774853996
0.885725764775 0.599338032218 -2.47176870948 0.0240176493547 0.0473372623646 0.63835258421 -0.412713199777 -1.34429191219 -1.38322042416 -1.90286295463 1.2076748788
0.987415928092 0.59927198807 -2.46773923226 0.0247979781767 0.0488979200085 0.638287319065 -0.412449226885 -1.34462317393 -1.38212154552 -1.89979634765 1.20759848699
1.08319306251 0.599207092078 -2.46371057935 0.0255783743918 0.0504587124387 0.638225768435 -0.412183984967 -1.34494857275 -1.38102018738 -1.89672809654 1.2075201389
1.17430787527 0.599142583685 -2.45968253867 0.0263588520148 0.0520196676848 0.638168140632 -0.411917577934 -1.34526925049 -1.37991677308 -1.89365822298 1.20744061236
1.26184576939 0.599079996246 -2.4556554938 0.0271393594969 0.0535806826489 0.63811399148 -0.411649804098 -1.34558289684 -1.37881045644 -1.89058678079 1.20735837115
1.34595153098 0.599018567913 -2.45162923562 0.0279199115626 0.0551417867804 0.638063531572 -0.411380775987 -1.34589065023 -1.37770167936 -1.88751378922 1.20727419256
1.42757191666 0.598957534754 -2.44760356136 0.028700523922 0.0567030114992 0.638016973313 -0.411110596889 -1.34619365889 -1.37659086736 -1.88443926436 1.20718885585
1.50677320048 0.598898436467 -2.44357883525 0.0294811415615 0.0582642467781 0.637973861974 -0.410839067425 -1.34648959925 -1.37547717144 -1.88136327158 1.20710082225
1.58363089295 0.59884050785 -2.43955485752 0.0302617808938 0.0598255254427 0.637934412811 -0.410566299429 -1.34677961672 -1.37436103578 -1.87828582454 1.20701087082
1.65821792118 0.59878298173 -2.43553143493 0.0310424593172 0.0613868822895 0.637898842493 -0.410292395329 -1.34706486612 -1.37324288774 -1.87520693378 1.20691978221
1.731318942 0.598727403856 -2.43150891194 0.0318231183569 0.0629482003689 0.637866686861 -0.410017158322 -1.34734301184 -1.37212187637 -1.87212667599 1.20682601665
1.80296694338 0.598673005817 -2.42748709837 0.0326037761244 0.064509515904 0.637838164653 -0.40974069951 -1.34761520503 -1.37099844763 -1.86904505933 1.20673035348
1.87319401491 0.598619017332 -2.42346581063 0.0333844516891 0.0660708670333 0.637813497787 -0.409463120088 -1.34788260802 -1.36987303047 -1.86596208889 1.20663357565
1.94202277787 0.59856698992 -2.41944537315 0.0341650831604 0.067632129976 0.637792210697 -0.409184226587 -1.34814287127 -1.3687447725 -1.86287785247 1.20653414052
2.00948410467 0.598516152092 -2.41542560546 0.0349456903195 0.0691933442942 0.637774527456 -0.408904128867 -1.34839715349 -1.36761412132 -1.85979235279 1.20643282952
2.07560801486 0.598465730597 -2.41140633382 0.0357262939033 0.0707545514617 0.637760675042 -0.408622926685 -1.34864662431 -1.36648150706 -1.85670558958 1.20633042753
2.13977445202 0.598417282437 -2.4073878623 0.036506828633 0.0723156209211 0.637750165979 -0.40834043045 -1.34888891979 -1.36534607662 -1.85361766156 1.20622538876
2.2032956281 0.598370033177 -2.40337002031 0.0372873159496 0.0738765955544 0.637743230015 -0.408056748492 -1.34912520656 -1.36420827887 -1.85052856606 1.20611849694
2.26618058911 0.598323206757 -2.39935264413 0.0380677782603 0.0754375201759 0.637740098398 -0.407771979033 -1.34935666063 -1.36306854469 -1.84743829761 1.20601053784
2.328431314 0.598278365331 -2.39533601711 0.038848146897 0.0769982574492 0.637740273839 -0.407485936477 -1.34958090599 -1.36192602122 -1.84434696548 1.20589996503
2.39005666251 0.59823473169 -2.39131997875 0.0396284449761 0.0785588536073 0.637743989809 -0.40719872771 -1.34979911507 -1.36078115805 -1.84125456183 1.20578756229
2.45106525008 0.598191527099 -2.38730437553 0.0404086965556 0.0801193567663 0.63775148288 -0.406910449017 -1.35001247132 -1.3596343865 -1.83816107603 1.20567411723
2.51145930408 0.598150318569 -2.38328946976 0.0411888296194 0.0816796228939 0.637762244526 -0.406620919496 -1.35021858527 -1.35848485462 -1.83506662769 1.20555808149
2.57124724123 0.598110326251 -2.37927511118 0.0419688689347 0.0832397015245 0.637776513421 -0.406330244111 -1.35041863665 -1.35733301245 -1.83197120388 1.20544024032
