this is the MBX pose,the info is time,positionx,positiony,positionz,orientationw,orientationx,orientationy,orientationz
0.0 0.586017368487 0.195977904042 1.36 0.685903491882 -0.59067972546 -0.253217908832 0.341342280419
0.0843019730286 0.59028993748 0.19632235843 1.36 0.687422872514 -0.58920919494 -0.253748252184 0.340432289092
0.149167268337 0.594560732656 0.196665715895 1.36 0.68859044375 -0.58811557851 -0.254170097547 0.339648095244
0.204548827512 0.59882976114 0.197007964007 1.36 0.689583212026 -0.587209180266 -0.254541209615 0.338923508937
0.253797050949 0.603097029996 0.197349090238 1.36 0.69046152037 -0.586425339961 -0.254879592288 0.338237494928
0.298875469523 0.607362546396 0.197689082072 1.36 0.691260232427 -0.585726725656 -0.255197027882 0.337576614826
0.340491084012 0.611626674536 0.198028811282 1.36 0.691993496529 -0.585098108288 -0.255495181851 0.336938297747
0.379675015753 0.615888642617 0.198366331766 1.36 0.692678005298 -0.584521797636 -0.255782189635 0.336313723375
0.416941988614 0.620148873801 0.198702665794 1.36 0.693323441229 -0.5839873367 -0.256060939926 0.335699555348
0.452385898693 0.624407382537 0.199037815547 1.36 0.693932356313 -0.583492004413 -0.256330265685 0.335096643586
0.486433085631 0.628664176556 0.199371768713 1.36 0.694511861873 -0.583028198174 -0.2565936389 0.334501268051
0.519138643302 0.632919263704 0.199704512973 1.36 0.695063601091 -0.582594167733 -0.256850212994 0.333914052186
0.55087278409 0.637173070651 0.20003712371 1.36 0.695593840589 -0.58218311915 -0.257103395507 0.333331469758
0.581658410166 0.641424775902 0.200367424403 1.36 0.696102432216 -0.581795408112 -0.257353018505 0.332753558702
0.61152676377 0.645674791642 0.20069646484 1.36 0.696590960705 -0.581429243142 -0.257598235054 0.332181001837
0.64050527063 0.649923133056 0.201024247482 1.36 0.697060272083 -0.581083737608 -0.257838583771 0.331614130715
0.668901647774 0.654169808538 0.201350760237 1.36 0.697514688131 -0.580754261767 -0.258077817911 0.331049221692
0.696727639984 0.658414826611 0.201675991033 1.36 0.697954673756 -0.580440324877 -0.25831555059 0.330486579095
0.723997409994 0.66265860884 0.202001056968 1.36 0.69838114835 -0.58014086274 -0.258551240712 0.329926669025
