this is the origin planned trajectory without nutation
0.0 1.59747912799 -0.115180123458 1.36 -0.0176976310483 0.00170934786857 0.0961236615257 -0.995210587604
0.0779258711686 1.59758228079 -0.113057814209 1.36 -0.0181812268829 0.00170898243126 0.0935689633271 -0.995445313149
0.136913923313 1.5976822574 -0.110952320707 1.36 -0.0186683020631 0.00170742088832 0.0910648009436 -0.995668509717
0.187131297874 1.59777935283 -0.108859839628 1.36 -0.0191584126854 0.00170475964694 0.0886157088367 -0.995880166067
0.231718660188 1.59787391074 -0.106776510901 1.36 -0.0196511188179 0.00170110483157 0.0862259840754 -0.996080327806
0.272255998293 1.59796631906 -0.104698440081 1.36 -0.0201459876003 0.00169657158644 0.0838996761414 -0.996269092751
0.310035412645 1.5980570053 -0.102621719367 1.36 -0.0206425958716 0.00169128331165 0.081640580766 -0.996446605879
0.345539379884 1.5981464317 -0.100542447142 1.36 -0.0211405323252 0.00168537085071 0.0794522372858 -0.996613054003
0.379356019738 1.59823971834 -0.0985250132063 1.36 -0.0216400498333 0.00167900088895 0.0773369554445 -0.996768721681
0.411686600115 1.59833299447 -0.0964968109902 1.36 -0.0221398411436 0.00167224293147 0.0752978381191 -0.996913871211
0.442561051226 1.59842680542 -0.0944541665808 1.36 -0.0226395511814 0.00166524251549 0.0733374977877 -0.997048789733
0.472306198309 1.59852170945 -0.0923934738766 1.36 -0.0231388410236 0.00165814903698 0.0714583217772 -0.997173782661
0.500931463069 1.59861827364 -0.0903112047441 1.36 -0.0236373876511 0.00165111496569 0.0696624811604 -0.997289168919
0.528723919579 1.59871706974 -0.0882039175452 1.36 -0.0241348833741 0.00164429509172 0.0679519404404 -0.997395276452
0.555948044823 1.59881867007 -0.086068264528 1.36 -0.0246310350033 0.00163784580148 0.0663284673773 -0.997492438062
0.583977283237 1.59892364362 -0.083900998228 1.36 -0.0251255628018 0.00163192438241 0.0647936426304 -0.997580987585
0.613203247693 1.59904183053 -0.081825146084 1.36 -0.0256184660975 0.00162705421747 0.0633624018813 -0.99766038957
0.643487601266 1.59916506504 -0.0797112170305 1.36 -0.0261087903143 0.00162293276331 0.0620194214284 -0.997732072514
0.674838072868 1.59929387945 -0.0775564908086 1.36 -0.0265963158234 0.00161971065712 0.0607656109218 -0.997796348486
0.707584842166 1.59942878693 -0.0753583567083 1.36 -0.0270808305956 0.00161753695516 0.0596017517078 -0.997853517998
0.741756805462 1.59957027815 -0.0731143169353 1.36 -0.0275621288196 0.00161655859991 0.0585285008556 -0.997903868306
