this is the nutation of wx, only
0.0 0.0 0.0 1.36 0.521333804474 0.521333804474 0.477714417108 -0.477714417108
0.0779258711686 0.0 0.0 1.36 0.522420904085 0.520194366064 0.478760818149 -0.476720357753
0.136913923313 0.0 0.0 1.36 0.523207212653 0.519298896276 0.479586407756 -0.476003935331
0.187131297874 0.0 0.0 1.36 0.523850735617 0.518515340141 0.480311165385 -0.475419218415
0.231718660188 0.0 0.0 1.36 0.524401546582 0.517804006524 0.480971025983 -0.474919888966
0.272255998293 0.0 0.0 1.36 0.524885106188 0.517145073237 0.481583902382 -0.474482395349
0.310035412645 0.0 0.0 1.36 0.525320677917 0.516520927355 0.482165868639 -0.474089012821
0.345539379884 0.0 0.0 1.36 0.525716489966 0.515925896541 0.48272200142 -0.473732108687
0.379356019738 0.0 0.0 1.36 0.526081094857 0.515351810632 0.483259778051 -0.47340382321
0.411686600115 0.0 0.0 1.36 0.526418192087 0.514796527692 0.483781083942 -0.473100713311
0.442561051226 0.0 0.0 1.36 0.52672947804 0.514260624763 0.484285264635 -0.47282115989
0.472306198309 0.0 0.0 1.36 0.527019429342 0.513739330593 0.484776711673 -0.472561066019
0.500931463069 0.0 0.0 1.36 0.527289135569 0.513233222637 0.485254797951 -0.472319391681
0.528723919579 0.0 0.0 1.36 0.527542144655 0.512737842667 0.485723664812 -0.472092905849
0.555948044823 0.0 0.0 1.36 0.527781439482 0.512248934082 0.486187296177 -0.471878898348
0.583977283237 0.0 0.0 1.36 0.528018894673 0.511741947533 0.486669006687 -0.47166672973
0.613203247693 0.0 0.0 1.36 0.528256763534 0.511209585422 0.487175856056 -0.471454384674
0.643487601266 0.0 0.0 1.36 0.528492675593 0.510654130564 0.487705817818 -0.471243977202
0.674838072868 0.0 0.0 1.36 0.528725455089 0.5100752595 0.488259348828 -0.471036549611
0.707584842166 0.0 0.0 1.36 0.528956066341 0.509466667998 0.488842654861 -0.47083123608
0.741756805462 0.0 0.0 1.36 0.529182936733 0.508827591217 0.48945668032 -0.470629429569
0.777737449769 0.0 0.0 1.36 0.529406476364 0.508150614509 0.490108802935 -0.470430756907
0.816261153356 0.0 0.0 1.36 0.529628226564 0.507421565456 0.490813029769 -0.470233842194
0.851815934331 0.0 0.0 1.36 0.529816619268 0.506745205857 0.491468170511 -0.470066680018
0.896117251863 0.0 0.0 1.36 0.530029337619 0.5058983145 0.49229095912 -0.469878078035
0.944471178371 0.0 0.0 1.36 0.530233420679 0.504969455629 0.493196550213 -0.469697276269
0.998788864694 0.0 0.0 1.36 0.530427441004 0.503921517718 0.494222237461 -0.469525519871
1.04698038364 0.0 0.0 1.36 0.530568165175 0.502988747841 0.495138789486 -0.469401023428
1.09016016298 0.0 0.0 1.36 0.53066903599 0.502151322242 0.495964549163 -0.469311825746
1.13135100041 0.0 0.0 1.36 0.530742963601 0.501351609824 0.49675568997 -0.469246475104
1.17595102 0.0 0.0 1.36 0.530798393526 0.500485404437 0.497615456428 -0.469197488165
1.22126463242 0.0 0.0 1.36 0.530828447934 0.499605708472 0.498491656853 -0.46917093151
1.26229375116 0.0 0.0 1.36 0.530832801829 0.498810108333 0.499286750352 -0.469167084577
1.30012394694 0.0 0.0 1.36 0.530817562723 0.498077787588 0.500020844115 -0.469180549541
1.33533351853 0.0 0.0 1.36 0.530786790546 0.49739764739 0.500704562171 -0.469207741597
1.36838991283 0.0 0.0 1.36 0.530743359564 0.496760675604 0.50134657823 -0.469246125129
1.39969574875 0.0 0.0 1.36 0.530689265401 0.496159095007 0.501954432705 -0.469293941489
1.43050904129 0.0 0.0 1.36 0.530623731796 0.495568783085 0.502552332079 -0.469351882928
1.46223206772 0.0 0.0 1.36 0.530543555333 0.49496314332 0.503167234993 -0.469422790541
1.49527185952 0.0 0.0 1.36 0.530446383798 0.494334882094 0.503806693892 -0.469508757587
1.52999015933 0.0 0.0 1.36 0.530329302886 0.493677757298 0.504477268417 -0.469612380694
1.56679853006 0.0 0.0 1.36 0.530188487771 0.492984824108 0.505186316649 -0.469737071248
1.60669116628 0.0 0.0 1.36 0.530016581312 0.492238596599 0.505952126721 -0.469889383812
1.64293424514 0.0 0.0 1.36 0.529843106184 0.49156530719 0.506645076317 -0.470043187633
1.67796320387 0.0 0.0 1.36 0.529659895243 0.490919123175 0.507311913562 -0.470205733941
1.7214643066 0.0 0.0 1.36 0.529411256264 0.490123333276 0.508135550871 -0.470426510585
1.76633021325 0.0 0.0 1.36 0.529130523708 0.489310888971 0.508979185577 -0.470676036637
1.81539030831 0.0 0.0 1.36 0.528795615243 0.488432869318 0.509894065374 -0.470974066765
1.87096261828 0.0 0.0 1.36 0.528381458101 0.487452352861 0.510919637479 -0.471343147254
1.92218607391 0.0 0.0 1.36 0.527967460776 0.486562710009 0.51185373543 -0.471712670082
1.96905234508 0.0 0.0 1.36 0.527562008992 0.485761375549 0.512698041059 -0.4720751332
2.02216960937 0.0 0.0 1.36 0.527072193824 0.484868586015 0.513641993774 -0.472513765964
2.06697361318 0.0 0.0 1.36 0.526634463168 0.48412891137 0.514426695988 -0.472906453577
2.11373715028 0.0 0.0 1.36 0.526154058183 0.483370564154 0.51523370348 -0.473338183084
2.16684272081 0.0 0.0 1.36 0.525579952511 0.482527050287 0.516134326855 -0.473855163423
2.23165885793 0.0 0.0 1.36 0.524839132785 0.481524186406 0.517209202844 -0.474523954186
2.30760075016 0.0 0.0 1.36 0.523916831855 0.480388335427 0.518432049159 -0.475359244034
2.36442822497 0.0 0.0 1.36 0.523189683004 0.479567310685 0.519319574804 -0.476019883352
2.41082538413 0.0 0.0 1.36 0.522573331407 0.478916065015 0.520025742014 -0.476581308505
2.45075471827 0.0 0.0 1.36 0.522027072355 0.478369737788 0.520619631968 -0.477080002207
2.4861466255 0.0 0.0 1.36 0.521530976041 0.477896677457 0.521134978445 -0.477533811311
2.51876808325 0.0 0.0 1.36 0.52106404729 0.477470138312 0.521600525091 -0.477961732639
2.54911724176 0.0 0.0 1.36 0.520621515298 0.477081624154 0.522025297581 -0.478368007279
2.58343922074 0.0 0.0 1.36 0.520111846081 0.476652063534 0.522495757783 -0.478836779073
2.61637260324 0.0 0.0 1.36 0.519613844476 0.47624982451 0.522937069 -0.479295711591
2.65056612049 0.0 0.0 1.36 0.519087768699 0.475842656654 0.523384552423 -0.479781476071
2.68604349117 0.0 0.0 1.36 0.518532513849 0.47543163532 0.52383705336 -0.480295256843
2.72355051616 0.0 0.0 1.36 0.517935388448 0.475009951301 0.524302112491 -0.480849014136
2.75900299231 0.0 0.0 1.36 0.51736174971 0.474623684014 0.524728842305 -0.481382198013
2.792615296 0.0 0.0 1.36 0.516809899573 0.474268669606 0.525121663081 -0.48189624993
2.82779906146 0.0 0.0 1.36 0.516224222094 0.473908885239 0.525520366985 -0.482443017256
2.86535047173 0.0 0.0 1.36 0.515590424248 0.473538398449 0.525931569407 -0.483036110366
2.90632214289 0.0 0.0 1.36 0.514889086897 0.473150275253 0.526363043029 -0.48369411011
2.94439753145 0.0 0.0 1.36 0.514228579637 0.472804838278 0.526747663819 -0.484315446219
2.98179985263 0.0 0.0 1.36 0.513571952078 0.472479972913 0.527109897413 -0.484934718581
3.02268754774 0.0 0.0 1.36 0.512845762879 0.4721414112 0.527487938323 -0.48562144336
3.06908057011 0.0 0.0 1.36 0.512011843008 0.471778456095 0.527893825698 -0.48641244821
3.1174756071 0.0 0.0 1.36 0.511131455108 0.471424106408 0.528290698877 -0.487250330915
3.17228361898 0.0 0.0 1.36 0.510122567633 0.471053053968 0.528706925973 -0.488214064492
3.21590560915 0.0 0.0 1.36 0.509311419374 0.470780923578 0.529012609128 -0.488991676283
3.25441460957 0.0 0.0 1.36 0.508589892769 0.470557917623 0.529263377516 -0.489685454507
3.29760293249 0.0 0.0 1.36 0.507775184886 0.470327167956 0.529523106853 -0.490471197936
3.34951165698 0.0 0.0 1.36 0.506789134679 0.470077088237 0.529804885189 -0.491425566811
3.39460713704 0.0 0.0 1.36 0.505927251864 0.469884146305 0.530022490714 -0.492262799946
3.43281819237 0.0 0.0 1.36 0.505193688205 0.469738449738 0.530186931442 -0.492977630287
3.46956964054 0.0 0.0 1.36 0.50448576036 0.469613781819 0.530327720151 -0.493669446856
3.51102039929 0.0 0.0 1.36 0.503685001224 0.469491433883 0.530465962482 -0.494454321147
3.56061434437 0.0 0.0 1.36 0.502724468686 0.469370574297 0.530602594761 -0.495399090634
3.60497332642 0.0 0.0 1.36 0.501863794593 0.469286102819 0.530698132444 -0.496248705388
3.64315850178 0.0 0.0 1.36 0.50112229295 0.469231301548 0.530760131598 -0.496983013655
3.68465699447 0.0 0.0 1.36 0.500316340174 0.469190569313 0.530806223321 -0.497783610323
3.73381992053 0.0 0.0 1.36 0.499362128191 0.469167715636 0.530832087602 -0.498734813609
3.7995039391 0.0 0.0 1.36 0.498089777802 0.469180197323 0.530817961337 -0.500008807533
3.85224698231 0.0 0.0 1.36 0.497071529114 0.469225826198 0.530766326916 -0.501033057976
3.89616940772 0.0 0.0 1.36 0.49622676991 0.469287998393 0.530695988157 -0.501885978627
3.94913323151 0.0 0.0 1.36 0.495212946383 0.46939212912 0.530578221721 -0.502913429419
